,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
968,1923.0,0,0.5,1,7,0,46,0.5,191.0,1,10,767.0,1759.0,1489.0,10,9,3,1,1,1,1
240,633.0,1,2.2,0,0,1,49,0.1,139.0,8,1,529.0,1009.0,3560.0,11,1,16,1,1,1,2
819,1236.0,0,0.9,1,2,1,57,0.1,188.0,1,14,517.0,809.0,1406.0,14,12,20,1,0,1,0
692,781.0,0,1.1,0,2,0,38,0.4,198.0,5,7,304.0,1674.0,3508.0,13,8,5,0,0,1,3
420,1456.0,1,0.5,1,7,0,7,0.4,105.0,5,12,823.0,1104.0,1587.0,6,5,20,1,0,1,1
1085,1741.0,1,0.5,0,1,1,55,0.1,140.0,5,3,719.0,755.0,2575.0,13,10,7,1,1,1,2
1998,1512.0,0,0.9,0,4,1,46,0.1,145.0,5,5,336.0,670.0,869.0,18,10,19,1,1,1,0
365,763.0,0,1.7,1,8,1,2,0.5,92.0,8,14,1028.0,1186.0,1050.0,6,4,8,1,1,0,0
1022,1099.0,0,0.5,0,13,1,61,0.3,146.0,3,20,393.0,1096.0,1699.0,17,10,3,1,1,1,1
1240,1994.0,1,0.8,1,2,1,7,0.6,88.0,8,4,667.0,711.0,454.0,11,8,6,1,1,0,0
588,1966.0,1,1.4,1,2,0,40,0.9,185.0,8,18,1197.0,1987.0,1185.0,11,2,20,0,1,0,2
736,503.0,0,2.5,0,3,0,57,0.6,185.0,6,11,778.0,1291.0,305.0,11,8,16,0,0,1,0
1761,1329.0,1,1.7,0,5,1,23,0.6,198.0,8,6,380.0,682.0,2308.0,11,10,9,1,1,0,1
941,743.0,0,0.5,1,0,1,33,0.3,95.0,2,1,1587.0,1659.0,316.0,19,10,4,1,0,0,0
71,1407.0,1,2.4,0,1,1,22,0.7,104.0,4,4,1172.0,1217.0,2192.0,9,7,13,1,0,1,2
1407,1617.0,0,1.5,0,1,1,63,0.7,111.0,2,10,274.0,1079.0,2754.0,19,10,8,1,1,1,2
259,1559.0,1,1.6,1,6,1,6,0.5,162.0,6,17,179.0,1559.0,3352.0,9,1,3,1,1,1,3
51,1760.0,0,1.4,1,5,0,63,0.8,127.0,8,19,1382.0,1383.0,2053.0,19,12,16,0,1,0,2
198,609.0,0,0.5,0,3,0,26,0.3,93.0,4,4,938.0,1948.0,1866.0,11,10,14,1,1,1,1
1788,1424.0,0,0.5,1,16,1,23,0.6,80.0,4,18,1399.0,1663.0,1053.0,14,11,16,1,1,1,1
650,1315.0,1,2.6,0,7,0,64,0.8,128.0,7,16,59.0,575.0,3278.0,6,3,13,0,0,0,2
332,1730.0,0,2.0,1,0,1,20,0.1,143.0,4,10,418.0,1023.0,1595.0,14,0,12,1,1,0,1
1359,1949.0,1,0.5,1,2,1,31,0.1,145.0,5,9,837.0,1182.0,832.0,7,3,19,1,0,0,1
593,1395.0,1,2.8,0,0,1,55,0.6,118.0,3,1,782.0,1787.0,3373.0,11,2,16,1,1,0,3
1391,794.0,0,2.5,1,15,0,14,0.6,197.0,3,19,312.0,1376.0,2171.0,19,8,18,0,0,1,1
1800,1358.0,0,1.7,0,0,0,60,0.6,147.0,3,1,889.0,1635.0,440.0,14,10,13,1,0,0,0
1314,1901.0,1,0.5,0,5,1,41,0.6,131.0,2,17,3.0,1662.0,368.0,5,1,12,1,0,0,0
1111,1735.0,1,1.9,1,0,1,59,0.7,148.0,6,0,137.0,846.0,3230.0,6,1,9,1,1,0,3
1006,919.0,0,0.5,1,11,0,13,0.3,159.0,1,15,275.0,570.0,1028.0,8,4,17,1,0,0,0
1326,769.0,1,1.2,0,2,0,17,0.1,95.0,8,4,1384.0,1454.0,1877.0,18,2,11,0,0,1,1
426,1190.0,1,2.2,1,9,0,47,0.3,186.0,6,10,1417.0,1441.0,624.0,9,3,19,1,1,1,0
1558,769.0,0,0.5,1,12,1,54,0.2,112.0,4,19,1385.0,1780.0,941.0,15,8,20,1,0,1,0
1293,1702.0,0,1.0,0,7,0,36,0.1,177.0,5,9,1240.0,1931.0,1430.0,8,6,10,0,0,0,2
590,612.0,1,0.7,0,6,0,35,0.6,181.0,5,12,1294.0,1337.0,3169.0,14,9,6,0,0,0,2
